"region","type of household","age","2016"
"01 Stockholm county","other households with children aged 0-19","30-49 years",937.3
"01 Stockholm county","other households with children aged 0-19","50-64 years",997.6
"03 Uppsala county","all households","18-29 years",300.9
"03 Uppsala county","all households","30-49 years",542.7
"03 Uppsala county","all households","50-64 years",580.4
"03 Uppsala county","single without children","18-29 years",181.2
"03 Uppsala county","single without children","30-49 years",273.3
"03 Uppsala county","single without children","50-64 years",286.7
"03 Uppsala county","single women without children","18-29 years",169.1
"03 Uppsala county","single women without children","30-49 years",258.5
"03 Uppsala county","single women without children","50-64 years",279.7
"03 Uppsala county","single men without children","18-29 years",192.0
"03 Uppsala county","single men without children","30-49 years",281.5
"03 Uppsala county","single men without children","50-64 years",293.5
"03 Uppsala county","single with children aged 0-19","18-29 years",273.3
"03 Uppsala county","single with children aged 0-19","30-49 years",353.8
"03 Uppsala county","single with children aged 0-19","50-64 years",422.7
"03 Uppsala county","single women with children aged 0-19","18-29 years",238.3
"03 Uppsala county","single women with children aged 0-19","30-49 years",341.7
"03 Uppsala county","single women with children aged 0-19","50-64 years",406.2
"03 Uppsala county","single men with children aged 0-19","18-29 years",432.0
"03 Uppsala county","single men with children aged 0-19","30-49 years",394.6
"03 Uppsala county","single men with children aged 0-19","50-64 years",452.0
"03 Uppsala county","single with adult children aged 20-29","18-29 years",501.4
"03 Uppsala county","single with adult children aged 20-29","30-49 years",478.2
"03 Uppsala county","single with adult children aged 20-29","50-64 years",488.3
"03 Uppsala county","single women with adult children aged 20-29","18-29 years",407.0
"03 Uppsala county","single women with adult children aged 20-29","30-49 years",450.5
"03 Uppsala county","single women with adult children aged 20-29","50-64 years",467.6
"03 Uppsala county","single men with adult children aged 20-29","18-29 years",544.8
"03 Uppsala county","single men with adult children aged 20-29","30-49 years",563.2
"03 Uppsala county","single men with adult children aged 20-29","50-64 years",534.4
"03 Uppsala county","cohabiting without children","18-29 years",421.9
"03 Uppsala county","cohabiting without children","30-49 years",596.1
"03 Uppsala county","cohabiting without children","50-64 years",668.1
"03 Uppsala county","cohabiting with children aged 0-19","18-29 years",485.8
"03 Uppsala county","cohabiting with children aged 0-19","30-49 years",680.9
"03 Uppsala county","cohabiting with children aged 0-19","50-64 years",806.9
"03 Uppsala county","cohabiting with adult children aged 20-29","18-29 years",731.1
"03 Uppsala county","cohabiting with adult children aged 20-29","30-49 years",824.6
"03 Uppsala county","cohabiting with adult children aged 20-29","50-64 years",902.1
"03 Uppsala county","other households without children","18-29 years",434.3
"03 Uppsala county","other households without children","30-49 years",566.2
"03 Uppsala county","other households without children","50-64 years",706.4
"03 Uppsala county","other households with children aged 0-19","18-29 years",575.4
"03 Uppsala county","other households with children aged 0-19","30-49 years",781.2
"03 Uppsala county","other households with children aged 0-19","50-64 years",891.4
"04 Södermanland county","all households","18-29 years",317.5
"04 Södermanland county","all households","30-49 years",489.4
"04 Södermanland county","all households","50-64 years",507.6
"04 Södermanland county","single without children","18-29 years",195.5
"04 Södermanland county","single without children","30-49 years",247.2
"04 Södermanland county","single without children","50-64 years",253.1
"04 Södermanland county","single women without children","18-29 years",181.0
"04 Södermanland county","single women without children","30-49 years",233.6
"04 Södermanland county","single women without children","50-64 years",242.1
"04 Södermanland county","single men without children","18-29 years",205.1
"04 Södermanland county","single men without children","30-49 years",253.7
"04 Södermanland county","single men without children","50-64 years",263.1
"04 Södermanland county","single with children aged 0-19","18-29 years",230.2
"04 Södermanland county","single with children aged 0-19","30-49 years",320.6
"04 Södermanland county","single with children aged 0-19","50-64 years",366.7
"04 Södermanland county","single women with children aged 0-19","18-29 years",216.6
"04 Södermanland county","single women with children aged 0-19","30-49 years",310.6
"04 Södermanland county","single women with children aged 0-19","50-64 years",341.5
"04 Södermanland county","single men with children aged 0-19","18-29 years",337.4
"04 Södermanland county","single men with children aged 0-19","30-49 years",358.4
"04 Södermanland county","single men with children aged 0-19","50-64 years",415.7
"04 Södermanland county","single with adult children aged 20-29","18-29 years",423.9
"04 Södermanland county","single with adult children aged 20-29","30-49 years",457.3
"04 Södermanland county","single with adult children aged 20-29","50-64 years",448.7
"04 Södermanland county","single women with adult children aged 20-29","18-29 years",347.4
"04 Södermanland county","single women with adult children aged 20-29","30-49 years",406.6
"04 Södermanland county","single women with adult children aged 20-29","50-64 years",416.6
"04 Södermanland county","single men with adult children aged 20-29","18-29 years",456.7
"04 Södermanland county","single men with adult children aged 20-29","30-49 years",586.8
"04 Södermanland county","single men with adult children aged 20-29","50-64 years",514.1
"04 Södermanland county","cohabiting without children","18-29 years",438.0
"04 Södermanland county","cohabiting without children","30-49 years",540.2
"04 Södermanland county","cohabiting without children","50-64 years",601.3
"04 Södermanland county","cohabiting with children aged 0-19","18-29 years",448.7
"04 Södermanland county","cohabiting with children aged 0-19","30-49 years",622.4
"04 Södermanland county","cohabiting with children aged 0-19","50-64 years",705.7
"04 Södermanland county","cohabiting with adult children aged 20-29","18-29 years",706.9
"04 Södermanland county","cohabiting with adult children aged 20-29","30-49 years",797.8
"04 Södermanland county","cohabiting with adult children aged 20-29","50-64 years",800.0
"04 Södermanland county","other households without children","18-29 years",466.4
"04 Södermanland county","other households without children","30-49 years",550.4
"04 Södermanland county","other households without children","50-64 years",724.7
"04 Södermanland county","other households with children aged 0-19","18-29 years",589.0
"04 Södermanland county","other households with children aged 0-19","30-49 years",743.8
"04 Södermanland county","other households with children aged 0-19","50-64 years",815.7
"05 Östergötland county","all households","18-29 years",290.3
"05 Östergötland county","all households","30-49 years",502.7
"05 Östergötland county","all households","50-64 years",532.8
"05 Östergötland county","single without children","18-29 years",179.9
"05 Östergötland county","single without children","30-49 years",256.9
"05 Östergötland county","single without children","50-64 years",262.0
"05 Östergötland county","single women without children","18-29 years",172.3
"05 Östergötland county","single women without children","30-49 years",235.4
"05 Östergötland county","single women without children","50-64 years",246.8
"05 Östergötland county","single men without children","18-29 years",185.3
"05 Östergötland county","single men without children","30-49 years",266.8
"05 Östergötland county","single men without children","50-64 years",275.1
"05 Östergötland county","single with children aged 0-19","18-29 years",237.6
"05 Östergötland county","single with children aged 0-19","30-49 years",325.1
"05 Östergötland county","single with children aged 0-19","50-64 years",364.2
"05 Östergötland county","single women with children aged 0-19","18-29 years",219.9
"05 Östergötland county","single women with children aged 0-19","30-49 years",310.9
"05 Östergötland county","single women with children aged 0-19","50-64 years",340.0
"05 Östergötland county","single men with children aged 0-19","18-29 years",340.7
"05 Östergötland county","single men with children aged 0-19","30-49 years",372.2
"05 Östergötland county","single men with children aged 0-19","50-64 years",407.4
"05 Östergötland county","single with adult children aged 20-29","18-29 years",405.7
"05 Östergötland county","single with adult children aged 20-29","30-49 years",421.9
"05 Östergötland county","single with adult children aged 20-29","50-64 years",440.2
"05 Östergötland county","single women with adult children aged 20-29","18-29 years",340.7
"05 Östergötland county","single women with adult children aged 20-29","30-49 years",400.8
"05 Östergötland county","single women with adult children aged 20-29","50-64 years",414.2
"05 Östergötland county","single men with adult children aged 20-29","18-29 years",431.5
"05 Östergötland county","single men with adult children aged 20-29","30-49 years",475.0
"05 Östergötland county","single men with adult children aged 20-29","50-64 years",491.8
"05 Östergötland county","cohabiting without children","18-29 years",420.4
"05 Östergötland county","cohabiting without children","30-49 years",548.5
"05 Östergötland county","cohabiting without children","50-64 years",622.5
"05 Östergötland county","cohabiting with children aged 0-19","18-29 years",445.7
"05 Östergötland county","cohabiting with children aged 0-19","30-49 years",636.4
"05 Östergötland county","cohabiting with children aged 0-19","50-64 years",779.3
"05 Östergötland county","cohabiting with adult children aged 20-29","18-29 years",661.4
"05 Östergötland county","cohabiting with adult children aged 20-29","30-49 years",794.0
"05 Östergötland county","cohabiting with adult children aged 20-29","50-64 years",851.2
"05 Östergötland county","other households without children","18-29 years",421.4
"05 Östergötland county","other households without children","30-49 years",553.0
"05 Östergötland county","other households without children","50-64 years",654.3
"05 Östergötland county","other households with children aged 0-19","18-29 years",528.0
"05 Östergötland county","other households with children aged 0-19","30-49 years",739.3
"05 Östergötland county","other households with children aged 0-19","50-64 years",809.3
"06 Jönköping county","all households","18-29 years",330.8
"06 Jönköping county","all households","30-49 years",518.8
"06 Jönköping county","all households","50-64 years",556.7
"06 Jönköping county","single without children","18-29 years",200.5
"06 Jönköping county","single without children","30-49 years",250.9
"06 Jönköping county","single without children","50-64 years",253.6
"06 Jönköping county","single women without children","18-29 years",184.8
"06 Jönköping county","single women without children","30-49 years",233.8
"06 Jönköping county","single women without children","50-64 years",243.6
"06 Jönköping county","single men without children","18-29 years",211.0
"06 Jönköping county","single men without children","30-49 years",258.6
"06 Jönköping county","single men without children","50-64 years",261.8
"06 Jönköping county","single with children aged 0-19","18-29 years",248.8
"06 Jönköping county","single with children aged 0-19","30-49 years",322.7
"06 Jönköping county","single with children aged 0-19","50-64 years",415.3
"06 Jönköping county","single women with children aged 0-19","18-29 years",219.5
"06 Jönköping county","single women with children aged 0-19","30-49 years",311.6
"06 Jönköping county","single women with children aged 0-19","50-64 years",353.4
"06 Jönköping county","single men with children aged 0-19","18-29 years",395.1
"06 Jönköping county","single men with children aged 0-19","30-49 years",358.5
"06 Jönköping county","single men with children aged 0-19","50-64 years",517.4
"06 Jönköping county","single with adult children aged 20-29","18-29 years",459.5
"06 Jönköping county","single with adult children aged 20-29","30-49 years",432.0
"06 Jönköping county","single with adult children aged 20-29","50-64 years",471.4
"06 Jönköping county","single women with adult children aged 20-29","18-29 years",399.4
"06 Jönköping county","single women with adult children aged 20-29","30-49 years",402.2
"06 Jönköping county","single women with adult children aged 20-29","50-64 years",448.0
"06 Jönköping county","single men with adult children aged 20-29","18-29 years",480.8
"06 Jönköping county","single men with adult children aged 20-29","30-49 years",496.5
"06 Jönköping county","single men with adult children aged 20-29","50-64 years",513.0
"06 Jönköping county","cohabiting without children","18-29 years",451.9
"06 Jönköping county","cohabiting without children","30-49 years",550.9
"06 Jönköping county","cohabiting without children","50-64 years",638.1
"06 Jönköping county","cohabiting with children aged 0-19","18-29 years",460.0
"06 Jönköping county","cohabiting with children aged 0-19","30-49 years",637.0
"06 Jönköping county","cohabiting with children aged 0-19","50-64 years",773.7
"06 Jönköping county","cohabiting with adult children aged 20-29","18-29 years",756.1
"06 Jönköping county","cohabiting with adult children aged 20-29","30-49 years",808.7
"06 Jönköping county","cohabiting with adult children aged 20-29","50-64 years",866.7
"06 Jönköping county","other households without children","18-29 years",483.3
"06 Jönköping county","other households without children","30-49 years",564.3
"06 Jönköping county","other households without children","50-64 years",664.2
"06 Jönköping county","other households with children aged 0-19","18-29 years",618.2
"06 Jönköping county","other households with children aged 0-19","30-49 years",765.7
"06 Jönköping county","other households with children aged 0-19","50-64 years",834.8
"07 Kronoberg county","all households","18-29 years",307.3
"07 Kronoberg county","all households","30-49 years",503.2
"07 Kronoberg county","all households","50-64 years",530.3
"07 Kronoberg county","single without children","18-29 years",190.3
"07 Kronoberg county","single without children","30-49 years",247.9
"07 Kronoberg county","single without children","50-64 years",257.1
"07 Kronoberg county","single women without children","18-29 years",179.3
"07 Kronoberg county","single women without children","30-49 years",235.8
"07 Kronoberg county","single women without children","50-64 years",251.1
"07 Kronoberg county","single men without children","18-29 years",197.6
"07 Kronoberg county","single men without children","30-49 years",253.1
"07 Kronoberg county","single men without children","50-64 years",262.1
"07 Kronoberg county","single with children aged 0-19","18-29 years",238.7
"07 Kronoberg county","single with children aged 0-19","30-49 years",319.7
"07 Kronoberg county","single with children aged 0-19","50-64 years",349.4
"07 Kronoberg county","single women with children aged 0-19","18-29 years",217.3
"07 Kronoberg county","single women with children aged 0-19","30-49 years",308.4
"07 Kronoberg county","single women with children aged 0-19","50-64 years",336.3
"07 Kronoberg county","single men with children aged 0-19","18-29 years",362.5
"07 Kronoberg county","single men with children aged 0-19","30-49 years",354.4
"07 Kronoberg county","single men with children aged 0-19","50-64 years",371.6
"07 Kronoberg county","single with adult children aged 20-29","18-29 years",489.0
"07 Kronoberg county","single with adult children aged 20-29","30-49 years",408.4
"07 Kronoberg county","single with adult children aged 20-29","50-64 years",450.3
"07 Kronoberg county","single women with adult children aged 20-29","18-29 years",655.9
"07 Kronoberg county","single women with adult children aged 20-29","30-49 years",379.3
"07 Kronoberg county","single women with adult children aged 20-29","50-64 years",427.4
"07 Kronoberg county","single men with adult children aged 20-29","18-29 years",443.0
"07 Kronoberg county","single men with adult children aged 20-29","30-49 years",489.7
"07 Kronoberg county","single men with adult children aged 20-29","50-64 years",488.2
"07 Kronoberg county","cohabiting without children","18-29 years",431.7
"07 Kronoberg county","cohabiting without children","30-49 years",545.9
"07 Kronoberg county","cohabiting without children","50-64 years",612.1
"07 Kronoberg county","cohabiting with children aged 0-19","18-29 years",444.1
"07 Kronoberg county","cohabiting with children aged 0-19","30-49 years",625.7
"07 Kronoberg county","cohabiting with children aged 0-19","50-64 years",726.8
"07 Kronoberg county","cohabiting with adult children aged 20-29","18-29 years",732.4
"07 Kronoberg county","cohabiting with adult children aged 20-29","30-49 years",778.6
"07 Kronoberg county","cohabiting with adult children aged 20-29","50-64 years",825.0
"07 Kronoberg county","other households without children","18-29 years",450.3
"07 Kronoberg county","other households without children","30-49 years",531.0
"07 Kronoberg county","other households without children","50-64 years",622.8
"07 Kronoberg county","other households with children aged 0-19","18-29 years",531.3
"07 Kronoberg county","other households with children aged 0-19","30-49 years",718.1
"07 Kronoberg county","other households with children aged 0-19","50-64 years",864.7
"08 Kalmar county","all households","18-29 years",312.3
"08 Kalmar county","all households","30-49 years",483.8
"08 Kalmar county","all households","50-64 years",500.5
"08 Kalmar county","single without children","18-29 years",192.0
"08 Kalmar county","single without children","30-49 years",246.7
"08 Kalmar county","single without children","50-64 years",249.6
"08 Kalmar county","single women without children","18-29 years",173.6
"08 Kalmar county","single women without children","30-49 years",225.7
"08 Kalmar county","single women without children","50-64 years",241.9
"08 Kalmar county","single men without children","18-29 years",204.6
"08 Kalmar county","single men without children","30-49 years",255.8
"08 Kalmar county","single men without children","50-64 years",255.9
"08 Kalmar county","single with children aged 0-19","18-29 years",240.5
"08 Kalmar county","single with children aged 0-19","30-49 years",306.6
"08 Kalmar county","single with children aged 0-19","50-64 years",351.1
"08 Kalmar county","single women with children aged 0-19","18-29 years",217.7
"08 Kalmar county","single women with children aged 0-19","30-49 years",298.4
"08 Kalmar county","single women with children aged 0-19","50-64 years",336.2
"08 Kalmar county","single men with children aged 0-19","18-29 years",340.4
"08 Kalmar county","single men with children aged 0-19","30-49 years",332.0
"08 Kalmar county","single men with children aged 0-19","50-64 years",374.7
"08 Kalmar county","single with adult children aged 20-29","18-29 years",428.3
"08 Kalmar county","single with adult children aged 20-29","30-49 years",397.7
"08 Kalmar county","single with adult children aged 20-29","50-64 years",423.8
"08 Kalmar county","single women with adult children aged 20-29","18-29 years",450.8
"08 Kalmar county","single women with adult children aged 20-29","30-49 years",378.5
"08 Kalmar county","single women with adult children aged 20-29","50-64 years",400.3
"08 Kalmar county","single men with adult children aged 20-29","18-29 years",419.5
"08 Kalmar county","single men with adult children aged 20-29","30-49 years",445.2
"08 Kalmar county","single men with adult children aged 20-29","50-64 years",469.2
"08 Kalmar county","cohabiting without children","18-29 years",432.9
"08 Kalmar county","cohabiting without children","30-49 years",528.3
"08 Kalmar county","cohabiting without children","50-64 years",586.9
"08 Kalmar county","cohabiting with children aged 0-19","18-29 years",443.2
"08 Kalmar county","cohabiting with children aged 0-19","30-49 years",605.8
"08 Kalmar county","cohabiting with children aged 0-19","50-64 years",698.4
"08 Kalmar county","cohabiting with adult children aged 20-29","18-29 years",732.3
"08 Kalmar county","cohabiting with adult children aged 20-29","30-49 years",768.1
"08 Kalmar county","cohabiting with adult children aged 20-29","50-64 years",805.0
"08 Kalmar county","other households without children","18-29 years",487.7
"08 Kalmar county","other households without children","30-49 years",535.6
"08 Kalmar county","other households without children","50-64 years",609.9
"08 Kalmar county","other households with children aged 0-19","18-29 years",565.8
"08 Kalmar county","other households with children aged 0-19","30-49 years",731.6
"08 Kalmar county","other households with children aged 0-19","50-64 years",847.2
"09 Gotland county","all households","18-29 years",300.4
"09 Gotland county","all households","30-49 years",487.6
"09 Gotland county","all households","50-64 years",489.6
"09 Gotland county","single without children","18-29 years",170.8
"09 Gotland county","single without children","30-49 years",250.4
"09 Gotland county","single without children","50-64 years",249.9
"09 Gotland county","single women without children","18-29 years",164.1
"09 Gotland county","single women without children","30-49 years",235.5
"09 Gotland county","single women without children","50-64 years",243.3
"09 Gotland county","single men without children","18-29 years",175.6
"09 Gotland county","single men without children","30-49 years",260.0
"09 Gotland county","single men without children","50-64 years",256.1
"09 Gotland county","single with children aged 0-19","18-29 years",233.1
"09 Gotland county","single with children aged 0-19","30-49 years",311.5
"09 Gotland county","single with children aged 0-19","50-64 years",385.2
"09 Gotland county","single women with children aged 0-19","18-29 years",219.1
"09 Gotland county","single women with children aged 0-19","30-49 years",307.2
"09 Gotland county","single women with children aged 0-19","50-64 years",396.2
"09 Gotland county","single men with children aged 0-19","18-29 years",341.3
"09 Gotland county","single men with children aged 0-19","30-49 years",324.2
"09 Gotland county","single men with children aged 0-19","50-64 years",366.8
"09 Gotland county","single with adult children aged 20-29","18-29 years",418.2
"09 Gotland county","single with adult children aged 20-29","30-49 years",403.6
"09 Gotland county","single with adult children aged 20-29","50-64 years",428.9
"09 Gotland county","single women with adult children aged 20-29","18-29 years",369.3
"09 Gotland county","single women with adult children aged 20-29","30-49 years",386.6
"09 Gotland county","single women with adult children aged 20-29","50-64 years",405.2
"09 Gotland county","single men with adult children aged 20-29","18-29 years",443.2
"09 Gotland county","single men with adult children aged 20-29","30-49 years",454.5
"09 Gotland county","single men with adult children aged 20-29","50-64 years",486.2
"09 Gotland county","cohabiting without children","18-29 years",403.0
"09 Gotland county","cohabiting without children","30-49 years",521.0
"09 Gotland county","cohabiting without children","50-64 years",558.4
"09 Gotland county","cohabiting with children aged 0-19","18-29 years",451.5
"09 Gotland county","cohabiting with children aged 0-19","30-49 years",601.6
"09 Gotland county","cohabiting with children aged 0-19","50-64 years",673.4
"09 Gotland county","cohabiting with adult children aged 20-29","18-29 years",695.1
"09 Gotland county","cohabiting with adult children aged 20-29","30-49 years",738.3
"09 Gotland county","cohabiting with adult children aged 20-29","50-64 years",759.4
"09 Gotland county","other households without children","18-29 years",462.5
"09 Gotland county","other households without children","30-49 years",590.0
"09 Gotland county","other households without children","50-64 years",634.5
"09 Gotland county","other households with children aged 0-19","18-29 years",635.7
"09 Gotland county","other households with children aged 0-19","30-49 years",777.1
"09 Gotland county","other households with children aged 0-19","50-64 years",855.6
"10 Blekinge county","all households","18-29 years",292.0
"10 Blekinge county","all households","30-49 years",478.4
"10 Blekinge county","all households","50-64 years",492.4
"10 Blekinge county","single without children","18-29 years",177.8
"10 Blekinge county","single without children","30-49 years",238.5
"10 Blekinge county","single without children","50-64 years",248.7
"10 Blekinge county","single women without children","18-29 years",177.0
"10 Blekinge county","single women without children","30-49 years",226.0
"10 Blekinge county","single women without children","50-64 years",239.8
"10 Blekinge county","single men without children","18-29 years",178.2
"10 Blekinge county","single men without children","30-49 years",243.6
"10 Blekinge county","single men without children","50-64 years",256.1
"10 Blekinge county","single with children aged 0-19","18-29 years",219.4
"10 Blekinge county","single with children aged 0-19","30-49 years",309.2
"10 Blekinge county","single with children aged 0-19","50-64 years",348.3
"10 Blekinge county","single women with children aged 0-19","18-29 years",205.0
"10 Blekinge county","single women with children aged 0-19","30-49 years",294.0
"10 Blekinge county","single women with children aged 0-19","50-64 years",329.3
"10 Blekinge county","single men with children aged 0-19","18-29 years",325.3
"10 Blekinge county","single men with children aged 0-19","30-49 years",357.3
"10 Blekinge county","single men with children aged 0-19","50-64 years",381.3
"10 Blekinge county","single with adult children aged 20-29","18-29 years",425.5
"10 Blekinge county","single with adult children aged 20-29","30-49 years",397.1
"10 Blekinge county","single with adult children aged 20-29","50-64 years",501.9
"10 Blekinge county","single women with adult children aged 20-29","18-29 years",390.4
"10 Blekinge county","single women with adult children aged 20-29","30-49 years",376.4
"10 Blekinge county","single women with adult children aged 20-29","50-64 years",508.7
"10 Blekinge county","single men with adult children aged 20-29","18-29 years",441.2
"10 Blekinge county","single men with adult children aged 20-29","30-49 years",459.9
"10 Blekinge county","single men with adult children aged 20-29","50-64 years",488.8
"10 Blekinge county","cohabiting without children","18-29 years",421.1
"10 Blekinge county","cohabiting without children","30-49 years",526.9
"10 Blekinge county","cohabiting without children","50-64 years",580.4
"10 Blekinge county","cohabiting with children aged 0-19","18-29 years",442.5
"10 Blekinge county","cohabiting with children aged 0-19","30-49 years",601.9
"10 Blekinge county","cohabiting with children aged 0-19","50-64 years",695.2
"10 Blekinge county","cohabiting with adult children aged 20-29","18-29 years",738.7
"10 Blekinge county","cohabiting with adult children aged 20-29","30-49 years",736.1
"10 Blekinge county","cohabiting with adult children aged 20-29","50-64 years",785.6
"10 Blekinge county","other households without children","18-29 years",391.9
"10 Blekinge county","other households without children","30-49 years",533.7
"10 Blekinge county","other households without children","50-64 years",563.7
"10 Blekinge county","other households with children aged 0-19","18-29 years",468.0
"10 Blekinge county","other households with children aged 0-19","30-49 years",670.0
"10 Blekinge county","other households with children aged 0-19","50-64 years",703.5
"12 Skåne county","all households","18-29 years",307.5
"12 Skåne county","all households","30-49 years",500.4
"12 Skåne county","all households","50-64 years",538.3
"12 Skåne county","single without children","18-29 years",187.4
"12 Skåne county","single without children","30-49 years",254.2
"12 Skåne county","single without children","50-64 years",268.0
"12 Skåne county","single women without children","18-29 years",179.7
"12 Skåne county","single women without children","30-49 years",242.7
"12 Skåne county","single women without children","50-64 years",258.6
"12 Skåne county","single men without children","18-29 years",193.9
"12 Skåne county","single men without children","30-49 years",260.5
"12 Skåne county","single men without children","50-64 years",277.0
"12 Skåne county","single with children aged 0-19","18-29 years",241.8
"12 Skåne county","single with children aged 0-19","30-49 years",319.3
"12 Skåne county","single with children aged 0-19","50-64 years",406.0
"12 Skåne county","single women with children aged 0-19","18-29 years",218.5
"12 Skåne county","single women with children aged 0-19","30-49 years",309.6
"12 Skåne county","single women with children aged 0-19","50-64 years",403.5
"12 Skåne county","single men with children aged 0-19","18-29 years",375.0
"12 Skåne county","single men with children aged 0-19","30-49 years",360.6
"12 Skåne county","single men with children aged 0-19","50-64 years",411.6
"12 Skåne county","single with adult children aged 20-29","18-29 years",428.4
"12 Skåne county","single with adult children aged 20-29","30-49 years",426.0
"12 Skåne county","single with adult children aged 20-29","50-64 years",467.8
"12 Skåne county","single women with adult children aged 20-29","18-29 years",384.8
"12 Skåne county","single women with adult children aged 20-29","30-49 years",411.7
"12 Skåne county","single women with adult children aged 20-29","50-64 years",441.2
"12 Skåne county","single men with adult children aged 20-29","18-29 years",449.1
"12 Skåne county","single men with adult children aged 20-29","30-49 years",467.1
"12 Skåne county","single men with adult children aged 20-29","50-64 years",532.6
"12 Skåne county","cohabiting without children","18-29 years",422.9
"12 Skåne county","cohabiting without children","30-49 years",527.5
"12 Skåne county","cohabiting without children","50-64 years",631.9
"12 Skåne county","cohabiting with children aged 0-19","18-29 years",428.6
"12 Skåne county","cohabiting with children aged 0-19","30-49 years",637.8
"12 Skåne county","cohabiting with children aged 0-19","50-64 years",779.3
"12 Skåne county","cohabiting with adult children aged 20-29","18-29 years",697.2
"12 Skåne county","cohabiting with adult children aged 20-29","30-49 years",784.5
"12 Skåne county","cohabiting with adult children aged 20-29","50-64 years",867.7
"12 Skåne county","other households without children","18-29 years",428.2
"12 Skåne county","other households without children","30-49 years",537.6
"12 Skåne county","other households without children","50-64 years",607.3
"12 Skåne county","other households with children aged 0-19","18-29 years",551.7
"12 Skåne county","other households with children aged 0-19","30-49 years",694.1
"12 Skåne county","other households with children aged 0-19","50-64 years",758.9
"13 Halland county","all households","18-29 years",349.7
"13 Halland county","all households","30-49 years",575.0
"13 Halland county","all households","50-64 years",619.5
"13 Halland county","single without children","18-29 years",206.4
"13 Halland county","single without children","30-49 years",267.2
"13 Halland county","single without children","50-64 years",281.1
"13 Halland county","single women without children","18-29 years",194.4
"13 Halland county","single women without children","30-49 years",246.4
"13 Halland county","single women without children","50-64 years",266.6
"13 Halland county","single men without children","18-29 years",215.0
"13 Halland county","single men without children","30-49 years",277.6
"13 Halland county","single men without children","50-64 years",294.5
"13 Halland county","single with children aged 0-19","18-29 years",264.1
"13 Halland county","single with children aged 0-19","30-49 years",359.2
"13 Halland county","single with children aged 0-19","50-64 years",423.5
"13 Halland county","single women with children aged 0-19","18-29 years",232.0
"13 Halland county","single women with children aged 0-19","30-49 years",333.6
"13 Halland county","single women with children aged 0-19","50-64 years",397.4
"13 Halland county","single men with children aged 0-19","18-29 years",416.7
"13 Halland county","single men with children aged 0-19","30-49 years",441.2
"13 Halland county","single men with children aged 0-19","50-64 years",470.6
"13 Halland county","single with adult children aged 20-29","18-29 years",453.6
"13 Halland county","single with adult children aged 20-29","30-49 years",445.9
"13 Halland county","single with adult children aged 20-29","50-64 years",486.6
"13 Halland county","single women with adult children aged 20-29","18-29 years",447.4
"13 Halland county","single women with adult children aged 20-29","30-49 years",430.5
"13 Halland county","single women with adult children aged 20-29","50-64 years",447.6
"13 Halland county","single men with adult children aged 20-29","18-29 years",456.0
"13 Halland county","single men with adult children aged 20-29","30-49 years",492.2
